TableS1.- Genes included in SureSelect capture library.		
A: Previously analyzed genes (Liu et al, Nature 2008; Pavri et al, Cell, 2008); B: Cancer related genes; C: Randomly picked genes		

Gene	Origin	Status
Lims1	C	Non-mutated
Lin7a	C	Non-mutated
Lipa	C	Non-mutated
Lipg	C	Non-mutated
Lmbr1	C	Non-mutated
Lmf1	C	Non-mutated
Loxhd1	C	Non-mutated
Lpar1	C	Non-mutated
Lpin2	C	Non-mutated
Lsp1	C	Mutated
Lst1	C	Non-mutated
Lta	C	Non-mutated
Lxn	C	Non-mutated
Ly6e	C	Mutated
Lyz1	C	Non-mutated
Madd	C	Non-mutated
Maf	C	Non-mutated
Maoa	C	Non-mutated
Map2k1	C	Non-mutated
Mapk1	C	Non-mutated
Mapk3	C	Non-mutated
Mapk7	C	Non-mutated
Mapk8ip3	C	Non-mutated
Mapkbp1	C	Non-mutated
Mast2	C	Non-mutated
Mb	C	Non-mutated
Mbd2	C	Non-mutated
Mbd3	C	Non-mutated
Mbl1	C	Non-mutated
Mbl2	C	Non-mutated
Mcm2	C	Mutated
Mcm6	C	Mutated
Mcm7	C	Mutated
Mcpt4	C	Non-mutated
Mdfi	C	Mutated
Mdh2	C	Mutated
Mdk	C	Non-mutated
Mdm2	C	Non-mutated
Mecp2	C	Non-mutated
Mef2a	C	Non-mutated
Mest	C	Non-mutated
Met	C	Non-mutated
Mgst3	C	Non-mutated
Mia	C	Non-mutated
Mknk1	C	Non-mutated
Mlh1	C	Non-mutated
Mlh3	C	Mutated
Kmt2c	C	Non-mutated
Mlst8	C	Mutated
Mlx	C	Non-mutated
Mmp2	C	Non-mutated
Mnat1	C	Non-mutated
Mogat1	C	Non-mutated
Mogat2	C	Non-mutated
Mov10l1	C	Non-mutated
Mpdz	C	Non-mutated
Mrpl51	C	Mutated
Ms4a8a	C	Non-mutated
Msh2	C	Mutated
Msh3	C	Non-mutated
Msh4	C	Non-mutated
Msh5	C	Mutated
Mstn	C	Non-mutated
Msx1	C	Non-mutated
Msx3	C	Non-mutated
Mt1	C	Non-mutated
Map1a	C	Non-mutated
Mtbp	C	Non-mutated
Mthfd1	C	Non-mutated
Mtor	C	Mutated
Mtss1	C	Mutated
Myb	C	Non-mutated
Mybbp1a	C	Mutated
Mycbp2	C	Mutated
Myh11	C	Non-mutated
Myl12b	C	Non-mutated
Myo1f	C	Non-mutated
Myo6	C	Non-mutated
Nampt	C	Non-mutated
Nanog	C	Non-mutated
Nanos2	C	Non-mutated
Nat3	C	Non-mutated
Ncf1	C	Non-mutated
Nckap1	C	Non-mutated
Ncoa1	C	Non-mutated
Ncor1	C	Non-mutated
Ndrg1	C	Non-mutated
Ndufa2	C	Non-mutated
Ndufa3	C	Non-mutated
Ndufa7	C	Non-mutated
Ndufb9	C	Non-mutated
Nek1	C	Non-mutated
Neurl1a	C	Non-mutated
Nf1	C	Non-mutated
Nf2	C	Non-mutated
Nfil3	C	Non-mutated
Nfkb1	C	Non-mutated
Nfkbid	C	Non-mutated
Nfx1	C	Non-mutated
Nfyb	C	Non-mutated
Nkx2-2	C	Non-mutated
Nkx3-1	C	Non-mutated
Nlgn3	C	Non-mutated
Nlk	C	Non-mutated
Nlrc4	C	Non-mutated
Nmnat1	C	Non-mutated
Nod1	C	Non-mutated
Nod2	C	Non-mutated
Nodal	C	Non-mutated
Nog	C	Non-mutated
Nos3	C	Non-mutated
Notch1	C	Non-mutated
Notch2	C	Non-mutated
Nox1	C	Non-mutated
Noxa1	C	Non-mutated
Noxo1	C	Non-mutated
Npc1l1	C	Non-mutated
Npy	C	Non-mutated
